Tempo  |    x1(t)    |    x2(t)    |    x3(t)    |    x4(t)    |    x5(t)    |    x6(t)    |    x7(t)    |    x8(t)    |    x9(t)    |    x10(t)  
0.000  |  +0.125245  |  -0.229012  |  +0.324402  |  -0.385971  |  +0.421493  |  -0.421493  |  +0.385971  |  -0.324402  |  +0.229012  |  -0.125245
0.025  |  +0.122189  |  -0.223425  |  +0.316487  |  -0.376554  |  +0.411209  |  -0.411209  |  +0.376554  |  -0.316487  |  +0.223425  |  -0.122189
0.050  |  +0.113171  |  -0.206934  |  +0.293127  |  -0.348760  |  +0.380858  |  -0.380858  |  +0.348760  |  -0.293127  |  +0.206934  |  -0.113171
0.075  |  +0.098629  |  -0.180345  |  +0.255463  |  -0.303948  |  +0.331921  |  -0.331921  |  +0.303948  |  -0.255463  |  +0.180345  |  -0.098629
0.100  |  +0.079275  |  -0.144955  |  +0.205332  |  -0.244303  |  +0.266787  |  -0.266787  |  +0.244303  |  -0.205332  |  +0.144955  |  -0.079275
0.125  |  +0.056052  |  -0.102491  |  +0.145182  |  -0.172736  |  +0.188633  |  -0.188633  |  +0.172736  |  -0.145182  |  +0.102491  |  -0.056052
0.150  |  +0.030093  |  -0.055026  |  +0.077946  |  -0.092740  |  +0.101275  |  -0.101275  |  +0.092740  |  -0.077946  |  +0.055026  |  -0.030093
0.175  |  +0.002667  |  -0.004876  |  +0.006907  |  -0.008218  |  +0.008974  |  -0.008974  |  +0.008218  |  -0.006907  |  +0.004876  |  -0.002667
0.200  |  -0.024890  |  +0.045512  |  -0.064469  |  +0.076705  |  -0.083765  |  +0.083765  |  -0.076705  |  +0.064469  |  -0.045512  |  +0.024890
0.225  |  -0.051233  |  +0.093680  |  -0.132700  |  +0.157885  |  -0.172416  |  +0.172416  |  -0.157885  |  +0.132700  |  -0.093680  |  +0.051233
0.250  |  -0.075075  |  +0.137275  |  -0.194454  |  +0.231360  |  -0.252653  |  +0.252653  |  -0.231360  |  +0.194454  |  -0.137275  |  +0.075075
0.275  |  -0.095253  |  +0.174172  |  -0.246719  |  +0.293545  |  -0.320561  |  +0.320561  |  -0.293545  |  +0.246719  |  -0.174172  |  +0.095253
0.300  |  -0.110784  |  +0.202569  |  -0.286945  |  +0.341405  |  -0.372825  |  +0.372825  |  -0.341405  |  +0.286945  |  -0.202569  |  +0.110784
0.325  |  -0.120908  |  +0.221081  |  -0.313168  |  +0.372605  |  -0.406896  |  +0.406896  |  -0.372605  |  +0.313168  |  -0.221081  |  +0.120908
0.350  |  -0.125132  |  +0.228805  |  -0.324108  |  +0.385621  |  -0.421111  |  +0.421111  |  -0.385621  |  +0.324108  |  -0.228805  |  +0.125132
0.375  |  -0.123249  |  +0.225363  |  -0.319232  |  +0.379820  |  -0.414776  |  +0.414776  |  -0.379820  |  +0.319232  |  -0.225363  |  +0.123249
0.400  |  -0.115352  |  +0.210923  |  -0.298778  |  +0.355484  |  -0.388200  |  +0.388200  |  -0.355484  |  +0.298778  |  -0.210923  |  +0.115352
0.425  |  -0.101826  |  +0.186190  |  -0.263743  |  +0.313800  |  -0.342680  |  +0.342680  |  -0.313800  |  +0.263743  |  -0.186190  |  +0.101826
0.450  |  -0.083331  |  +0.152371  |  -0.215838  |  +0.256803  |  -0.280437  |  +0.280437  |  -0.256803  |  +0.215838  |  -0.152371  |  +0.083331
0.475  |  -0.060769  |  +0.111117  |  -0.157400  |  +0.187274  |  -0.204509  |  +0.204509  |  -0.187274  |  +0.157400  |  -0.111117  |  +0.060769
0.500  |  -0.035242  |  +0.064440  |  -0.091281  |  +0.108606  |  -0.118601  |  +0.118601  |  -0.108606  |  +0.091281  |  -0.064440  |  +0.035242
0.525  |  -0.007995  |  +0.014619  |  -0.020708  |  +0.024638  |  -0.026906  |  +0.026906  |  -0.024638  |  +0.020708  |  -0.014619  |  +0.007995
0.550  |  +0.019642  |  -0.035916  |  +0.050876  |  -0.060532  |  +0.066103  |  -0.066103  |  +0.060532  |  -0.050876  |  +0.035916  |  -0.019642
0.575  |  +0.046321  |  -0.084698  |  +0.119977  |  -0.142748  |  +0.155885  |  -0.155885  |  +0.142748  |  -0.119977  |  +0.084698  |  -0.046321
0.600  |  +0.070739  |  -0.129347  |  +0.183223  |  -0.217998  |  +0.238061  |  -0.238061  |  +0.217998  |  -0.183223  |  +0.129347  |  -0.070739
0.625  |  +0.091705  |  -0.167684  |  +0.237529  |  -0.282610  |  +0.308619  |  -0.308619  |  +0.282610  |  -0.237529  |  +0.167684  |  -0.091705
0.650  |  +0.108196  |  -0.197838  |  +0.280242  |  -0.333430  |  +0.364117  |  -0.364117  |  +0.333430  |  -0.280242  |  +0.197838  |  -0.108196
0.675  |  +0.119407  |  -0.218337  |  +0.309281  |  -0.367980  |  +0.401846  |  -0.401846  |  +0.367980  |  -0.309281  |  +0.218337  |  -0.119407
0.700  |  +0.124791  |  -0.228182  |  +0.323226  |  -0.384572  |  +0.419965  |  -0.419965  |  +0.384572  |  -0.323226  |  +0.228182  |  -0.124791
0.725  |  +0.124086  |  -0.226892  |  +0.321398  |  -0.382397  |  +0.417591  |  -0.417591  |  +0.382397  |  -0.321398  |  +0.226892  |  -0.124086
0.750  |  +0.117325  |  -0.214529  |  +0.303886  |  -0.361562  |  +0.394838  |  -0.394838  |  +0.361562  |  -0.303886  |  +0.214529  |  -0.117325
0.775  |  +0.104838  |  -0.191698  |  +0.271545  |  -0.323083  |  +0.352817  |  -0.352817  |  +0.323083  |  -0.271545  |  +0.191698  |  -0.104838
0.800  |  +0.087236  |  -0.159512  |  +0.225953  |  -0.268837  |  +0.293578  |  -0.293578  |  +0.268837  |  -0.225953  |  +0.159512  |  -0.087236
0.825  |  +0.065376  |  -0.119541  |  +0.169334  |  -0.201472  |  +0.220014  |  -0.220014  |  +0.201472  |  -0.169334  |  +0.119541  |  -0.065376
0.850  |  +0.040327  |  -0.073738  |  +0.104451  |  -0.124275  |  +0.135713  |  -0.135713  |  +0.124275  |  -0.104451  |  +0.073738  |  -0.040327
0.875  |  +0.013309  |  -0.024335  |  +0.034472  |  -0.041014  |  +0.044789  |  -0.044789  |  +0.041014  |  -0.034472  |  +0.024335  |  -0.013309
0.900  |  -0.014358  |  +0.026254  |  -0.037190  |  +0.044248  |  -0.048321  |  +0.048321  |  -0.044248  |  +0.037190  |  -0.026254  |  +0.014358
0.925  |  -0.041325  |  +0.075563  |  -0.107037  |  +0.127352  |  -0.139072  |  +0.139072  |  -0.127352  |  +0.107037  |  -0.075563  |  +0.041325
0.950  |  -0.066275  |  +0.121184  |  -0.171660  |  +0.204240  |  -0.223037  |  +0.223037  |  -0.204240  |  +0.171660  |  -0.121184  |  +0.066275
0.975  |  -0.087990  |  +0.160891  |  -0.227907  |  +0.271162  |  -0.296118  |  +0.296118  |  -0.271162  |  +0.227907  |  -0.160891  |  +0.087990
1.000  |  -0.105412  |  +0.192747  |  -0.273032  |  +0.324851  |  -0.354748  |  +0.354748  |  -0.324851  |  +0.273032  |  -0.192747  |  +0.105412
1.025  |  -0.117690  |  +0.215197  |  -0.304833  |  +0.362688  |  -0.396067  |  +0.396067  |  -0.362688  |  +0.304833  |  -0.215197  |  +0.117690
1.050  |  -0.124225  |  +0.227146  |  -0.321758  |  +0.382826  |  -0.418058  |  +0.418058  |  -0.382826  |  +0.321758  |  -0.227146  |  +0.124225
1.075  |  -0.124697  |  +0.228010  |  -0.322982  |  +0.384282  |  -0.419648  |  +0.419648  |  -0.384282  |  +0.322982  |  -0.228010  |  +0.124697
1.100  |  -0.119084  |  +0.217747  |  -0.308444  |  +0.366985  |  -0.400759  |  +0.400759  |  -0.366985  |  +0.308444  |  -0.217747  |  +0.119084
1.125  |  -0.107660  |  +0.196858  |  -0.278855  |  +0.331779  |  -0.362314  |  +0.362314  |  -0.331779  |  +0.278855  |  -0.196858  |  +0.107660
1.150  |  -0.090983  |  +0.166363  |  -0.235657  |  +0.280383  |  -0.306188  |  +0.306188  |  -0.280383  |  +0.235657  |  -0.166363  |  +0.090983
1.175  |  -0.069865  |  +0.127749  |  -0.180960  |  +0.215305  |  -0.235120  |  +0.235120  |  -0.215305  |  +0.180960  |  -0.127749  |  +0.069865
1.200  |  -0.045338  |  +0.082901  |  -0.117432  |  +0.139719  |  -0.152578  |  +0.152578  |  -0.139719  |  +0.117432  |  -0.082901  |  +0.045338
1.225  |  -0.018599  |  +0.034008  |  -0.048173  |  +0.057316  |  -0.062591  |  +0.062591  |  -0.057316  |  +0.048173  |  -0.034008  |  +0.018599
1.250  |  +0.009048  |  -0.016545  |  +0.023437  |  -0.027885  |  +0.030451  |  -0.030451  |  +0.027885  |  -0.023437  |  +0.016545  |  -0.009048
1.275  |  +0.036254  |  -0.066291  |  +0.093903  |  -0.111725  |  +0.122007  |  -0.122007  |  +0.111725  |  -0.093903  |  +0.066291  |  -0.036254
1.300  |  +0.061690  |  -0.112801  |  +0.159786  |  -0.190113  |  +0.207609  |  -0.207609  |  +0.190113  |  -0.159786  |  +0.112801  |  -0.061690
1.325  |  +0.084116  |  -0.153807  |  +0.217872  |  -0.259223  |  +0.283080  |  -0.283080  |  +0.259223  |  -0.217872  |  +0.153807  |  -0.084116
1.350  |  +0.102437  |  -0.187308  |  +0.265326  |  -0.315683  |  +0.344736  |  -0.344736  |  +0.315683  |  -0.265326  |  +0.187308  |  -0.102437
1.375  |  +0.115759  |  -0.211667  |  +0.299832  |  -0.356739  |  +0.389570  |  -0.389570  |  +0.356739  |  -0.299832  |  +0.211667  |  -0.115759
1.400  |  +0.123433  |  -0.225698  |  +0.319707  |  -0.380385  |  +0.415393  |  -0.415393  |  +0.380385  |  -0.319707  |  +0.225698  |  -0.123433
1.425  |  +0.125082  |  -0.228714  |  +0.323980  |  -0.385469  |  +0.420945  |  -0.420945  |  +0.385469  |  -0.323980  |  +0.228714  |  -0.125082
1.450  |  +0.120628  |  -0.220570  |  +0.312443  |  -0.371742  |  +0.405955  |  -0.405955  |  +0.371742  |  -0.312443  |  +0.220570  |  -0.120628
1.475  |  +0.110287  |  -0.201662  |  +0.285659  |  -0.339875  |  +0.371154  |  -0.371154  |  +0.339875  |  -0.285659  |  +0.201662  |  -0.110287
1.500  |  +0.094564  |  -0.172912  |  +0.244935  |  -0.291422  |  +0.318242  |  -0.318242  |  +0.291422  |  -0.244935  |  +0.172912  |  -0.094564
1.525  |  +0.074227  |  -0.135725  |  +0.192258  |  -0.228747  |  +0.249799  |  -0.249799  |  +0.228747  |  -0.192258  |  +0.135725  |  -0.074227
1.550  |  +0.050267  |  -0.091914  |  +0.130199  |  -0.154910  |  +0.169167  |  -0.169167  |  +0.154910  |  -0.130199  |  +0.091914  |  -0.050267
1.575  |  +0.023855  |  -0.043618  |  +0.061787  |  -0.073513  |  +0.080279  |  -0.080279  |  +0.073513  |  -0.061787  |  +0.043618  |  -0.023855
1.600  |  -0.003722  |  +0.006806  |  -0.009641  |  +0.011471  |  -0.012527  |  +0.012527  |  -0.011471  |  +0.009641  |  -0.006806  |  +0.003722
1.625  |  -0.031117  |  +0.056899  |  -0.080598  |  +0.095895  |  -0.104721  |  +0.104721  |  -0.095895  |  +0.080598  |  -0.056899  |  +0.031117
1.650  |  -0.056994  |  +0.104214  |  -0.147622  |  +0.175640  |  -0.191805  |  +0.191805  |  -0.175640  |  +0.147622  |  -0.104214  |  +0.056994
1.675  |  -0.080089  |  +0.146444  |  -0.207442  |  +0.246814  |  -0.269528  |  +0.269528  |  -0.246814  |  +0.207442  |  -0.146444  |  +0.080089
1.700  |  -0.099276  |  +0.181528  |  -0.257139  |  +0.305943  |  -0.334099  |  +0.334099  |  -0.305943  |  +0.257139  |  -0.181528  |  +0.099276
1.725  |  -0.113619  |  +0.207753  |  -0.294288  |  +0.350142  |  -0.382367  |  +0.382367  |  -0.350142  |  +0.294288  |  -0.207753  |  +0.113619
1.750  |  -0.122417  |  +0.223840  |  -0.317076  |  +0.377255  |  -0.411974  |  +0.411974  |  -0.377255  |  +0.317076  |  -0.223840  |  +0.122417
1.775  |  -0.125241  |  +0.229004  |  -0.324390  |  +0.385958  |  -0.421478  |  +0.421478  |  -0.385958  |  +0.324390  |  -0.229004  |  +0.125241
1.800  |  -0.121953  |  +0.222993  |  -0.315875  |  +0.375826  |  -0.410414  |  +0.410414  |  -0.375826  |  +0.315875  |  -0.222993  |  +0.121953
1.825  |  -0.112714  |  +0.206099  |  -0.291945  |  +0.347354  |  -0.379322  |  +0.379322  |  -0.347354  |  +0.291945  |  -0.206099  |  +0.112714
1.850  |  -0.097975  |  +0.179148  |  -0.253768  |  +0.301931  |  -0.329719  |  +0.329719  |  -0.301931  |  +0.253768  |  -0.179148  |  +0.097975
1.875  |  -0.078454  |  +0.143455  |  -0.203207  |  +0.241775  |  -0.264026  |  +0.264026  |  -0.241775  |  +0.203207  |  -0.143455  |  +0.078454
1.900  |  -0.055105  |  +0.100761  |  -0.142731  |  +0.169820  |  -0.185449  |  +0.185449  |  -0.169820  |  +0.142731  |  -0.100761  |  +0.055105
1.925  |  -0.029067  |  +0.053150  |  -0.075288  |  +0.089578  |  -0.097822  |  +0.097822  |  -0.089578  |  +0.075288  |  -0.053150  |  +0.029067
1.950  |  -0.001611  |  +0.002945  |  -0.004172  |  +0.004964  |  -0.005421  |  +0.005421  |  -0.004964  |  +0.004172  |  -0.002945  |  +0.001611
