Tempo  |   x001(t)   |   x002(t)   |   x003(t)   |   x004(t)   |   x005(t) 
0.000  |  -2.000000  |  -3.000000  |  -1.000000  |  -3.000000  |  -1.000000
0.025  |  -1.993740  |  -2.978828  |  -1.029240  |  -2.969499  |  -1.007440
0.050  |  -1.974837  |  -2.916236  |  -1.115345  |  -2.879480  |  -1.029051
0.075  |  -1.942944  |  -2.814951  |  -1.253556  |  -2.734308  |  -1.062749
0.100  |  -1.897530  |  -2.679350  |  -1.436213  |  -2.540996  |  -1.105209
0.125  |  -1.837961  |  -2.515220  |  -1.653145  |  -2.308827  |  -1.152081
0.150  |  -1.763589  |  -2.329446  |  -1.892189  |  -2.048847  |  -1.198271
0.175  |  -1.673868  |  -2.129632  |  -2.139811  |  -1.773269  |  -1.238276
0.200  |  -1.568473  |  -1.923686  |  -2.381792  |  -1.494814  |  -1.266545
0.225  |  -1.447413  |  -1.719396  |  -2.603945  |  -1.226026  |  -1.277858
0.250  |  -1.311140  |  -1.524004  |  -2.792834  |  -0.978593  |  -1.267680
0.275  |  -1.160634  |  -1.343817  |  -2.936438  |  -0.762719  |  -1.232494
0.300  |  -0.997466  |  -1.183877  |  -3.024753  |  -0.586585  |  -1.170064
0.325  |  -0.823819  |  -1.047694  |  -3.050272  |  -0.455909  |  -1.079637
0.350  |  -0.642486  |  -0.937069  |  -3.008345  |  -0.373650  |  -0.962056
0.375  |  -0.456809  |  -0.852020  |  -2.897384  |  -0.339863  |  -0.819777
0.400  |  -0.270599  |  -0.790801  |  -2.718910  |  -0.351709  |  -0.656793
0.425  |  -0.088006  |  -0.750026  |  -2.477441  |  -0.403628  |  -0.478462
0.450  |   0.086639  |  -0.724886  |  -2.180229  |  -0.487660  |  -0.291252
0.475  |   0.249005  |  -0.709444  |  -1.836860  |  -0.593894  |  -0.102412
0.500  |   0.394957  |  -0.696999  |  -1.458742  |  -0.711031  |   0.080414
0.525  |   0.520761  |  -0.680497  |  -1.058507  |  -0.827009  |   0.249606
0.550  |   0.623278  |  -0.652953  |  -0.649358  |  -0.929688  |   0.397991
0.575  |   0.700144  |  -0.607885  |  -0.244402  |  -1.007522  |   0.519270
0.600  |   0.749922  |  -0.539711  |   0.143994  |  -1.050205  |   0.608385
0.625  |   0.772218  |  -0.444106  |   0.504804  |  -1.049252  |   0.661851
0.650  |   0.767749  |  -0.318283  |   0.828852  |  -0.998475  |   0.677990
0.675  |   0.738363  |  -0.161190  |   1.109212  |  -0.894333  |   0.657085
0.700  |   0.687001  |   0.026378  |   1.341479  |  -0.736141  |   0.601425
0.725  |   0.617611  |   0.241789  |   1.523898  |  -0.526120  |   0.515241
0.750  |   0.535003  |   0.480668  |   1.657343  |  -0.269291  |   0.404540
0.775  |   0.444665  |   0.737104  |   1.745156  |   0.026787  |   0.276833
0.800  |   0.352527  |   1.003936  |   1.792851  |   0.352410  |   0.140781
0.825  |   0.264712  |   1.273111  |   1.807705  |   0.696247  |   0.005769
0.850  |   0.187258  |   1.536102  |   1.798262  |   1.045935  |  -0.118568
0.875  |   0.125840  |   1.784350  |   1.773776  |   1.388738  |  -0.222846
0.900  |   0.085502  |   2.009714  |   1.743628  |   1.712215  |  -0.298423
0.925  |   0.070407  |   2.204898  |   1.716751  |   2.004878  |  -0.337871
0.950  |   0.083633  |   2.363846  |   1.701091  |   2.256786  |  -0.335388
0.975  |   0.126999  |   2.482067  |   1.703141  |   2.460063  |  -0.287137
1.000  |   0.200962  |   2.556872  |   1.727566  |   2.609289  |  -0.191492
1.025  |   0.304564  |   2.587530  |   1.776952  |   2.701764  |  -0.049172
1.050  |   0.435449  |   2.575308  |   1.851679  |   2.737617  |   0.136741
1.075  |   0.589944  |   2.523409  |   1.949923  |   2.719760  |   0.360898
1.100  |   0.763198  |   2.436808  |   2.067809  |   2.653686  |   0.615903
1.125  |   0.949386  |   2.321988  |   2.199669  |   2.547133  |   0.892629
1.150  |   1.141949  |   2.186600  |   2.338418  |   2.409619  |   1.180631
1.175  |   1.333875  |   2.039058  |   2.476015  |   2.251884  |   1.468625
1.200  |   1.518003  |   1.888088  |   2.603978  |   2.085268  |   1.745011
1.225  |   1.687336  |   1.742269  |   2.713923  |   1.921058  |   1.998421
1.250  |   1.835341  |   1.609577  |   2.798102  |   1.769840  |   2.218255
1.275  |   1.956236  |   1.496956  |   2.849905  |   1.640899  |   2.395179
1.300  |   2.045242  |   1.409958  |   2.864283  |   1.541690  |   2.521569
1.325  |   2.098783  |   1.352441  |   2.838095  |   1.477416  |   2.591867
1.350  |   2.114635  |   1.326376  |   2.770328  |   1.450740  |   2.602842
1.375  |   2.092017  |   1.331740  |   2.662194  |   1.461635  |   2.553728
1.400  |   2.031605  |   1.366526  |   2.517097  |   1.507390  |   2.446253
1.425  |   1.935494  |   1.426858  |   2.340459  |   1.582774  |   2.284539
1.450  |   1.807081  |   1.507202  |   2.139435  |   1.680338  |   2.074894
1.475  |   1.650904  |   1.600677  |   1.922508  |   1.790849  |   1.825489
1.500  |   1.472424  |   1.699422  |   1.699005  |   1.903822  |   1.545962
1.525  |   1.277773  |   1.795033  |   1.478557  |   2.008132  |   1.246945
1.550  |   1.073472  |   1.879013  |   1.270534  |   2.092660  |   0.939555
1.575  |   0.866141  |   1.943239  |   1.083476  |   2.146946  |   0.634868
1.600  |   0.662214  |   1.980396  |   0.924579  |   2.161807  |   0.343405
1.625  |   0.467661  |   1.984380  |   0.799236  |   2.129889  |   0.074651
1.650  |   0.287749  |   1.950623  |   0.710689  |   2.046117  |  -0.163352
1.675  |   0.126835  |   1.876339  |   0.659788  |   1.908024  |  -0.364347
1.700  |  -0.011786  |   1.760678  |   0.644893  |   1.715940  |  -0.524096
1.725  |  -0.125981  |   1.604767  |   0.661913  |   1.473016  |  -0.640509
1.750  |  -0.214825  |   1.411652  |   0.704488  |   1.185106  |  -0.713665
1.775  |  -0.278578  |   1.186133  |   0.764312  |   0.860487  |  -0.745712
1.800  |  -0.318619  |   0.934508  |   0.831558  |   0.509454  |  -0.740678
1.825  |  -0.337317  |   0.664237  |   0.895421  |   0.143793  |  -0.704177
1.850  |  -0.337868  |   0.383546  |   0.944706  |  -0.223823  |  -0.643052
1.875  |  -0.324100  |   0.100992  |   0.968471  |  -0.580500  |  -0.564958
1.900  |  -0.300249  |  -0.174984  |   0.956656  |  -0.913793  |  -0.477920
1.925  |  -0.270730  |  -0.436495  |   0.900686  |  -1.212361  |  -0.389883
1.950  |  -0.239915  |  -0.676614  |   0.794005  |  -1.466567  |  -0.308286
1.975  |  -0.211919  |  -0.889722  |   0.632506  |  -1.668985  |  -0.239676
2.000  |  -0.190410  |  -1.071775  |   0.414849  |  -1.814787  |  -0.189381
2.025  |  -0.178462  |  -1.220495  |   0.142625  |  -1.901995  |  -0.161270
2.050  |  -0.178433  |  -1.335444  |  -0.179628  |  -1.931577  |  -0.157597
2.075  |  -0.191905  |  -1.418013  |  -0.544564  |  -1.907384  |  -0.178945
2.100  |  -0.219650  |  -1.471292  |  -0.942323  |  -1.835936  |  -0.224266
2.125  |  -0.261662  |  -1.499856  |  -1.360961  |  -1.726054  |  -0.291017
2.150  |  -0.317214  |  -1.509468  |  -1.786997  |  -1.588377  |  -0.375379
2.175  |  -0.384953  |  -1.506710  |  -2.206045  |  -1.434774  |  -0.472540
2.200  |  -0.463035  |  -1.498580  |  -2.603514  |  -1.277697  |  -0.577032
2.225  |  -0.549262  |  -1.492056  |  -2.965313  |  -1.129494  |  -0.683103
2.250  |  -0.641239  |  -1.493677  |  -3.278551  |  -1.001735  |  -0.785086
2.275  |  -0.736530  |  -1.509134  |  -3.532180  |  -0.904577  |  -0.877761
2.300  |  -0.832797  |  -1.542925  |  -3.717552  |  -0.846212  |  -0.956679
2.325  |  -0.927924  |  -1.598071  |  -3.828857  |  -0.832414  |  -1.018429
2.350  |  -1.020119  |  -1.675922  |  -3.863424  |  -0.866226  |  -1.060837
2.375  |  -1.107978  |  -1.776052  |  -3.821860  |  -0.947793  |  -1.083081
2.400  |  -1.190516  |  -1.896264  |  -3.708034  |  -1.074353  |  -1.085723
2.425  |  -1.267165  |  -2.032693  |  -3.528889  |  -1.240390  |  -1.070643
2.450  |  -1.337734  |  -2.180004  |  -3.294097  |  -1.437932  |  -1.040897
2.475  |  -1.402345  |  -2.331679  |  -3.015587  |  -1.656990  |  -1.000497
2.500  |  -1.461337  |  -2.480372  |  -2.706950  |  -1.886098  |  -0.954125
2.525  |  -1.515161  |  -2.618311  |  -2.382766  |  -2.112941  |  -0.906811
2.550  |  -1.564255  |  -2.737732  |  -2.057881  |  -2.325028  |  -0.863576
2.575  |  -1.608935  |  -2.831318  |  -1.746678  |  -2.510370  |  -0.829086
2.600  |  -1.649277  |  -2.892607  |  -1.462370  |  -2.658133  |  -0.807310
2.625  |  -1.685036  |  -2.916370  |  -1.216361  |  -2.759228  |  -0.801231
2.650  |  -1.715574  |  -2.898912  |  -1.017699  |  -2.806806  |  -0.812610
2.675  |  -1.739830  |  -2.838299  |  -0.872661  |  -2.796626  |  -0.841820
