Tempo  |   x001(t)   |   x002(t)   |   x003(t)   |   x004(t)   |   x005(t) 
0.000  |   0.189335  |  -0.391105  |   0.557661  |  -0.588202  |   0.392711
0.025  |   0.184126  |  -0.380345  |   0.542319  |  -0.572019  |   0.381906
0.050  |   0.168785  |  -0.348657  |   0.497136  |  -0.524362  |   0.350088
0.075  |   0.144158  |  -0.297784  |   0.424599  |  -0.447852  |   0.299007
0.100  |   0.111598  |  -0.230526  |   0.328698  |  -0.346700  |   0.231473
0.125  |   0.072898  |  -0.150584  |   0.214712  |  -0.226470  |   0.151202
0.150  |   0.030187  |  -0.062356  |   0.088911  |  -0.093780  |   0.062612
0.175  |  -0.014186  |   0.029303  |  -0.041782  |   0.044071  |  -0.029424
0.200  |  -0.057778  |   0.119350  |  -0.170177  |   0.179496  |  -0.119840
0.225  |  -0.098190  |   0.202830  |  -0.289207  |   0.305046  |  -0.203662
0.250  |  -0.133200  |   0.275149  |  -0.392324  |   0.413810  |  -0.276278
0.275  |  -0.160881  |   0.332328  |  -0.473854  |   0.499805  |  -0.333693
0.300  |  -0.179709  |   0.371222  |  -0.529310  |   0.558298  |  -0.372746
0.325  |  -0.188649  |   0.389689  |  -0.555642  |   0.586072  |  -0.391289
0.350  |  -0.187209  |   0.386714  |  -0.551400  |   0.581598  |  -0.388301
0.375  |  -0.175468  |   0.362461  |  -0.516818  |   0.545122  |  -0.363948
0.400  |  -0.154072  |   0.318263  |  -0.453799  |   0.478651  |  -0.319569
0.425  |  -0.124198  |   0.256554  |  -0.365809  |   0.385843  |  -0.257607
0.450  |  -0.087490  |   0.180727  |  -0.257692  |   0.271805  |  -0.181469
0.475  |  -0.045969  |   0.094957  |  -0.135395  |   0.142810  |  -0.095347
0.500  |  -0.001918  |   0.003961  |  -0.005648  |   0.005958  |  -0.003978
0.525  |   0.042239  |  -0.087252  |   0.124409  |  -0.131223  |   0.087610
0.550  |   0.084071  |  -0.173665  |   0.247621  |  -0.261182  |   0.174377
0.575  |   0.121278  |  -0.250521  |   0.357208  |  -0.376771  |   0.251550
0.600  |   0.151811  |  -0.313593  |   0.447140  |  -0.471628  |   0.314881
0.625  |   0.173991  |  -0.359410  |   0.512469  |  -0.540534  |   0.360886
0.650  |   0.186597  |  -0.385451  |   0.549599  |  -0.579698  |   0.387033
0.675  |   0.188936  |  -0.390283  |   0.556488  |  -0.586965  |   0.391885
0.700  |   0.180879  |  -0.373639  |   0.532757  |  -0.561934  |   0.375173
0.725  |   0.162870  |  -0.336437  |   0.479712  |  -0.505984  |   0.337818
0.750  |   0.135898  |  -0.280723  |   0.400271  |  -0.422193  |   0.281875
0.775  |   0.101449  |  -0.209562  |   0.298806  |  -0.315170  |   0.210422
0.800  |   0.061418  |  -0.126870  |   0.180899  |  -0.190806  |   0.127391
0.825  |   0.018007  |  -0.037197  |   0.053038  |  -0.055943  |   0.037350
0.850  |  -0.026394  |   0.054522  |  -0.077741  |   0.081998  |  -0.054746
0.875  |  -0.069343  |   0.143242  |  -0.204242  |   0.215428  |  -0.143830
0.900  |  -0.108477  |   0.224079  |  -0.319506  |   0.337004  |  -0.224999
0.925  |  -0.141642  |   0.292587  |  -0.417188  |   0.440036  |  -0.293788
0.950  |  -0.167013  |   0.344996  |  -0.491916  |   0.518856  |  -0.346412
0.975  |  -0.183194  |   0.378422  |  -0.539576  |   0.569126  |  -0.379975
1.000  |  -0.189296  |   0.391025  |  -0.557547  |   0.588081  |  -0.392630
1.025  |  -0.184981  |   0.382113  |  -0.544839  |   0.574678  |  -0.383681
1.050  |  -0.170488  |   0.352175  |  -0.502152  |   0.529653  |  -0.353620
1.075  |  -0.146615  |   0.302859  |  -0.431835  |   0.455484  |  -0.304102
1.100  |  -0.114673  |   0.236879  |  -0.337756  |   0.356254  |  -0.237851
1.125  |  -0.076422  |   0.157865  |  -0.225093  |   0.237420  |  -0.158513
1.150  |  -0.033966  |   0.070164  |  -0.100044  |   0.105523  |  -0.070452
1.175  |   0.010358  |  -0.021397  |   0.030510  |  -0.032181  |   0.021485
1.200  |   0.054114  |  -0.111781  |   0.159384  |  -0.168113  |   0.112240
1.225  |   0.094891  |  -0.196015  |   0.279489  |  -0.294796  |   0.196819
1.250  |   0.130447  |  -0.269462  |   0.384216  |  -0.405258  |   0.270568
1.275  |   0.158826  |  -0.328083  |   0.467801  |  -0.493420  |   0.329430
1.300  |   0.178465  |  -0.368652  |   0.525646  |  -0.554433  |   0.370165
1.325  |   0.188284  |  -0.388936  |   0.554568  |  -0.584939  |   0.390532
1.350  |   0.187744  |  -0.387819  |   0.552975  |  -0.583259  |   0.389410
1.375  |   0.176872  |  -0.365362  |   0.520955  |  -0.549486  |   0.366862
1.400  |   0.156269  |  -0.322802  |   0.460271  |  -0.485478  |   0.324127
1.425  |   0.127067  |  -0.262480  |   0.374260  |  -0.394757  |   0.263558
1.450  |   0.090874  |  -0.187716  |   0.267657  |  -0.282315  |   0.188486
1.475  |   0.049680  |  -0.102622  |   0.146325  |  -0.154339  |   0.103044
1.500  |   0.005752  |  -0.011882  |   0.016943  |  -0.017870  |   0.011931
1.525  |  -0.038492  |   0.079512  |  -0.113372  |   0.119581  |  -0.079838
1.550  |  -0.080618  |   0.166530  |  -0.237449  |   0.250453  |  -0.167214
1.575  |  -0.118308  |   0.244386  |  -0.348460  |   0.367544  |  -0.245389
